Deal_ID,ProviderDeal_ID,FullTitle,ShortTitle,FullDescription,ShortDescription,Outlets,Indiv_Outlets,All Postal Codes,DealSite_URL,DealImage_URL,HighlightImage_URL,StartDate,EndDate,Merchant_ID,ProviderMerchant_ID,MerchantName,MerchantImage_URL,MerchantWebsite_URL,Card Type,Terms&Conditions,CardImages_URL,isFeatured,HomeFeatured,isOnlineMerchant,Category,SubCategory,Keywords,Bookmark
218_1,218,Bakerzin - Changi Airport Terminal 1,Bakerzin - Changi Airport Terminal 1,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"80 Airport Boulevard, #02-45 Departure Transit Lounge, Singapore 819642","Addr: 80 Airport Boulevard, #02-45 Departure Transit Lounge, Singapore 819642; Tel: 6214 0993; Postal: 819642; Coord: 1.3621589, 103.9900509",Singapore 819642,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_1,218_HSBC_1,Bakerzin - Changi Airport Terminal 1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_2,218,Bakerzin - Farrer Park,Bakerzin - Farrer Park,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"1 Farrer Park Station, #01-05, 06, 07 Connexion, Singapore 217562","Addr: 1 Farrer Park Station, #01-05, 06, 07 Connexion, Singapore 217562; Tel: ; Postal: 217562; Coord: 1.312316, 103.854285",Singapore 217562,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_2,218_HSBC_2,Bakerzin - Farrer Park,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_3,218,Bakerzin - Gardens by the Bay,Bakerzin - Gardens by the Bay,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"18 Marina Garden Drive #03-03, Singapore 018953","Addr: 18 Marina Garden Drive #03-03, Singapore 018953; Tel: 6604 7370; Postal: 018953; Coord: 1.2811198, 103.865893",Singapore 018953,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_3,218_HSBC_3,Bakerzin - Gardens by the Bay,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_4,218,Bakerzin - Jurong Point,Bakerzin - Jurong Point,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"63 Jurong West Central 2, #03-58/59 Jurong Point, Singapore 648331","Addr: 63 Jurong West Central 2, #03-58/59 Jurong Point, Singapore 648331; Tel: 6791 2155; Postal: 648886; Coord: 1.3395626, 103.7057463",Singapore 648886,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_4,218_HSBC_4,Bakerzin - Jurong Point,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_5,218,Bakerzin - myVillage,Bakerzin - myVillage,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"1 Maju Avenue, #01-26/27/28 myvillage@ Serangoon Garden, Singapore 556679","Addr: 1 Maju Avenue, #01-26/27/28 myvillage@ Serangoon Garden, Singapore 556679; Tel: 6634 5638; Postal: Not available; Coord: 1.3636674, 103.8670088",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_5,218_HSBC_5,Bakerzin - myVillage,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_6,218,Bakerzin - Northpoint,Bakerzin - Northpoint,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"930 Yishun Ave 2, #01-44 Northpoint, Singapore 769098","Addr: 930 Yishun Ave 2, #01-44 Northpoint, Singapore 769098; Tel: 6755 8122; Postal: 769098; Coord: 1.429848, 103.835554",Singapore 769098,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_6,218_HSBC_6,Bakerzin - Northpoint,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_7,218,Bakerzin - Paragon,Bakerzin - Paragon,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"290 Orchard Road, #02-09 Paragon, Singapore 238859","Addr: 290 Orchard Road, #02-09 Paragon, Singapore 238859; Tel: 6333 6647; Postal: 238859; Coord: 1.30451, 103.836184",Singapore 238859,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_7,218_HSBC_7,Bakerzin - Paragon,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_8,218,Bakerzin - Tampines 1,Bakerzin - Tampines 1,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"10 Tampines Central 1, #01-39/40, Singapore 529536","Addr: 10 Tampines Central 1, #01-39/40, Singapore 529536; Tel: 6260 5688; Postal: 529536; Coord: 1.3542047, 103.9450223",Singapore 529536,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_8,218_HSBC_8,Bakerzin - Tampines 1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_9,218,Bakerzin - United Square,Bakerzin - United Square,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"101 Thomson Road, #01-07/60, Singapore 307591","Addr: 101 Thomson Road, #01-07/60, Singapore 307591; Tel: 6251 5550; Postal: 307591; Coord: 1.3174445, 103.8435719",Singapore 307591,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_9,218_HSBC_9,Bakerzin - United Square,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
218_10,218,Bakerzin - VivoCity,Bakerzin - VivoCity,15% off total bill for dine-in and takeaways,15% off total bill for dine-in and takeaways,"1 Harbourfront Walk, #01-207, Singapore 098585","Addr: 1 Harbourfront Walk, #01-207, Singapore 098585; Tel: 6438 8700; Postal: 098585; Coord: 1.2642411, 103.8223265",Singapore 098585,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=wd&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2015/bakerzin.jpg,"","",2016-05-31 T23:59:59,HSBC_10,218_HSBC_10,Bakerzin - VivoCity,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-logo-wd.jpg,"",All,"Applicable to all HSBC credit cards
Not valid on eve of and Public Holidays, including special occasions determined by the merchant and not valid in conjunction with other promotions, privileges and vouchers, unless stated otherwise. HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Dining,"","",""
